Access Point,MAC Address,Vendor,Signal Strength,Encryption,Country Id,Mode,Frequency,Width,Band,Bitrates,Info,Adapter,,,,,,,,,,,,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:c8:70,,-86 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;18 Stations, 19 Stations, 20 Stations, 17 Stations, 16 Stations;en0,,,,
eduroam,1c:28:af:5c:09:70,,-69 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;4 Stations, 5 Stations, 6 Stations;en0,,,,,,
eduroam,1c:28:af:62:01:d0,,-66 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;47 Stations, 49 Stations, 50 Stations, 48 Stations;en0,,,,,
eduroam,1c:28:af:66:28:10,,-82 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 153 [5.765 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;1 Stations, 2 Stations, 3 Stations, 4 Stations, 5 Stations;en0
eduroam,1c:28:af:62:11:f0,,-75 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;4 Stations, 5 Stations, 6 Stations;en0,,,,,,
eduroam,d0:4d:c6:f2:ec:80,,-56 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;1 Stations, 2 Stations;en0,,,,,,,
eduroam,d0:4d:c6:f2:a8:50,,-92 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;18 Stations, 19 Stations, 20 Stations;en0,,,,,,
eduroam,1c:28:af:5b:fc:90,,-90 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;13 Stations, 12 Stations, 14 Stations, 15 Stations, 10 Stations, 11 Stations;en0,,,
eduroam,d0:4d:c6:f2:ec:90,,-62 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;22 Stations, 25 Stations, 24 Stations, 23 Stations, 21 Stations, 20 Stations;en0,,,
eduroam,1c:28:af:5b:e5:50,,-82 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;10 Stations, 8 Stations, 7 Stations, 6 Stations, 5 Stations, 4 Stations;en0,,,
eduroam,d0:4d:c6:f2:9d:f0,,-81 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;5 Stations, 6 Stations;en0,,,,,,,
eduroam,1c:28:af:62:01:c0,,-58 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;3 Stations, 2 Stations, 4 Stations;en0,,,,,,
eduroam,1c:28:af:65:fe:10,,-80 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 140 [5.700 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;4 Stations, 5 Stations, 3 Stations, 2 Stations;en0,
eduroam,d0:4d:c6:f2:ed:b0,,-83 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;8 Stations, 10 Stations, 13 Stations, 12 Stations, 11 Stations;en0,,,,
eduroam,d0:4d:c6:f2:b2:b0,,-85 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;15 Stations, 13 Stations, 14 Stations, 16 Stations, 17 Stations;en0,,,,
eduroam,d0:4d:c6:f2:61:30,,-77 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;4 Stations, 5 Stations, 6 Stations, 3 Stations, 8 Stations;en0,,,,
eduroam,1c:28:af:61:e6:b0,,-89 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;6 Stations, 7 Stations, 8 Stations;en0,,,,,,
eduroam,d0:4d:c6:f2:61:20,,-66 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations, 1 Stations;en0,,,,,,,
eduroam,1c:28:af:66:4c:d0,,-90 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 165 [5.825 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;10 Stations, 11 Stations, 9 Stations, 8 Stations;en0,
eduroam,1c:28:af:66:75:70,,-90 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 116 [5.580 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;1 Stations, 2 Stations, 3 Stations;en0,,
eduroam,1c:28:af:66:2a:b0,,-86 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;5 Stations, 4 Stations, 3 Stations, 6 Stations, 2 Stations;en0
eduroam,1c:28:af:65:e9:50,,-87 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 161 [5.805 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;3 Stations, 2 Stations, 1 Stations;en0,,
eduroam,1c:28:af:66:50:10,,-91 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 56 [5.280 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;3 Stations, 2 Stations, 5 Stations, 4 Stations;en0,
eduroam,1c:28:af:66:11:d0,,-93 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 157 [5.785 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations, 1 Stations;en0,,,
eduroam,d0:4d:c6:f2:8c:30,,-91 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 100 [5.500 GHz] + Ch 104,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;31 Stations, 32 Stations, 29 Stations, 30 Stations, 28 Stations, 27 Stations;en0,,,
eduroam,d0:4d:c6:f2:c5:d0,,-89 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;3 Stations, 2 Stations;en0,,,,,,,
eduroam,d0:4d:c6:f2:9d:e0,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;1 Stations;en0,,,,,,,,
eduroam,d0:4d:c6:f2:71:10,,-88 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;37 Stations, 40 Stations, 38 Stations;en0,,,,,,
eduroam,1c:28:af:65:d3:70,,-90 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;7 Stations;en0,,,,,,,,
eduroam,1c:28:af:65:d3:70,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;7 Stations;en0,,,,,,,,
Honor 7X,6c:b7:49:e9:c9:a9,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,72,,,11,9,7,6,5.5,2, 1 Mbps;1 Stations;en0,,,,,,,,,,,,,,,,
TUD-facility,1c:28:af:62:01:c2,,-58 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:ec:92,,-63 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:5c:09:72,,-69 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:62:01:d2,,-66 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:c8:72,,-86 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:61:22,,-67 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:61:e6:b2,,-88 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:ec:82,,-57 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations, 1 Stations;en0,,,,,,,
TUD-facility,1c:28:af:5b:e5:52,,-82 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:66:28:12,,-83 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 153 [5.765 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
TUD-facility,1c:28:af:62:11:f2,,-74 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:b2:b2,,-87 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:ed:b2,,-83 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations, 1 Stations;en0,,,,,,,
TUD-facility,1c:28:af:5b:fc:92,,-90 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:a8:52,,-91 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:9d:f2,,-82 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:65:fe:12,,-80 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 140 [5.700 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
TUD-facility,d0:4d:c6:f2:61:32,,-77 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:66:4c:d2,,-90 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 165 [5.825 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
TUD-facility,1c:28:af:66:75:72,,-91 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 116 [5.580 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
TUD-facility,1c:28:af:66:2a:b2,,-86 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
TUD-facility,1c:28:af:65:e9:52,,-85 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 161 [5.805 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
TUD-facility,1c:28:af:66:50:12,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 56 [5.280 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
TUD-facility,d0:4d:c6:f2:8c:32,,-90 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 100 [5.500 GHz] + Ch 104,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;1 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:66:11:d2,,-91 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 157 [5.785 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
TUD-facility,d0:4d:c6:f2:71:12,,-90 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:c5:d2,,-90 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:5c:42:92,,-91 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 64 [5.320 GHz] + Ch 60,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,1c:28:af:5c:09:71,,-69 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:71:11,,-89 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;2 Stations;en0,,,,,,,,
tudelft-dastud,1c:28:af:61:e6:b1,,-88 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,1c:28:af:5b:fc:91,,-90 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;2 Stations, 1 Stations;en0,,,,,,,
tudelft-dastud,1c:28:af:62:11:f1,,-75 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:9d:f1,,-80 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:c8:71,,-86 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:ec:81,,-56 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:a8:51,,-91 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:ec:91,,-63 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:ed:b1,,-83 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,1c:28:af:66:28:11,,-84 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 153 [5.765 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
tudelft-dastud,1c:28:af:62:01:d1,,-66 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;3 Stations, 4 Stations, 2 Stations;en0,,,,,,
tudelft-dastud,1c:28:af:62:01:c1,,-58 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations, 1 Stations;en0,,,,,,,
tudelft-dastud,d0:4d:c6:f2:61:31,,-76 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;1 Stations, 0 Stations;en0,,,,,,,
tudelft-dastud,1c:28:af:65:fe:11,,-81 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 140 [5.700 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
tudelft-dastud,d0:4d:c6:f2:b2:b1,,-87 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;1 Stations;en0,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:61:21,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations, 1 Stations;en0,,,,,,,
tudelft-dastud,1c:28:af:5b:e5:51,,-82 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,1c:28:af:66:4c:d1,,-89 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 165 [5.825 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
tudelft-dastud,1c:28:af:66:75:71,,-89 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 116 [5.580 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
tudelft-dastud,1c:28:af:66:2a:b1,,-87 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
tudelft-dastud,1c:28:af:65:e9:51,,-86 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 161 [5.805 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
tudelft-dastud,1c:28:af:66:50:11,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 56 [5.280 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
tudelft-dastud,1c:28:af:66:11:d1,,-93 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 157 [5.785 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
tudelft-dastud,d0:4d:c6:f2:8c:31,,-91 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 100 [5.500 GHz] + Ch 104,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
tudelft-dastud,d0:4d:c6:f2:c5:d1,,-90 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
